OBJECTID,REGIONNAME,ZONENAME,WOREDANAME,REG_P_CODE,ZON_P_CODE,WOR_P_CODE,REG_Pcode,HRname,HRpcode,HRparent,DRMF_Name,pop_2020,pop_2022,pop_2030,cons_class12,cons_class40,cons_class80,cons_class12_2030,cons_class40_2030,cons_class80_2030,Females_2022_12USD,Males_2022_12USD,Females_2022_40USD,Males_2022_40USD,Females_2022_80USD,Males_2022_80USD,Females_2030_12USD,Males_2030_12USD,Females_2030_40USD,Males_2030_40USD,Females_2030_80USD,Males_2030_80USD
"165",Amhara,North Wollo,Delanta,"03","0303","030306",ET03,Delanta,ET030306,ET0303,Delanta,183145.75,242876.266458916,341476.748824089,72108.8749402258,3517.76155308698,3369.48073488849,207165.340687842,17296.3208117961,3883.45149701368,23989.0484837643,27163.0729803111,1170.30036027707,1325.14339778022,1120.96997016913,1269.28590309564,76329.6827915789,80199.0262865272,6016.12577044676,6372.9649889651,1350.76892269079,1430.88814645098
"166",Amhara,West Gojam,Dembecha,"03","0307","030708",ET03,Dembecha,ET030708,ET0307,,186211.234375,246941.517221699,347192.369513873,73315.8296712424,3576.64166947496,3425.87893438077,210632.863766702,17585.8257617802,3948.45251333629,24390.5759737448,27617.7271330726,1189.88878899292,1347.32358148926,1139.73270929028,1290.53114686104,77607.2851926518,81541.3935648919,6116.82338176091,6479.63535721605,1373.37802515014,1454.83828045801
"167",Amhara,North Gonder,Dembia,"03","0301","030111",ET03,Dembia,ET030111,ET0301,,388443.25,515128.777441831,724255.616702342,152939.425215299,7461.00158156089,7146.5051603571,439387.636481559,36684.657269834,8236.61221031533,50879.6079485381,57611.559910395,2482.15028425282,2810.56485422016,2377.52292021463,2692.09381805286,161891.553885525,170098.243707943,12759.9108725214,13516.7495420987,2864.91534927242,3034.8443356938
"168",Amhara,South Gonder,Dera,"03","0302","030209",ET03,Dera,ET030209,ET0302,,354786.59375,470495.456649559,661502.505846425,139687.992318617,6814.54327520262,6527.29638900893,401316.905064396,33506.1160044629,7522.95113929109,46471.1455158437,52619.8076584754,2267.08443131823,2567.04352860357,2171.52250277357,2458.83741257547,147864.464010998,155360.085386987,11654.3286954155,12345.5910962877,2616.68482629175,2771.89031968578
"169",Amhara,South Wollo,Dessie Zuria,"03","0304","030409",ET03,Dessie Zuria,ET030409,ET0304,Dessie Zuria,447959.625,594055.615510247,835224.384674273,176372.449687724,8604.1589617027,8241.47612732138,506709.592373958,42305.3954827336,9498.60685442025,58675.2636241565,66438.6696721479,2862.45960131252,3241.19309097183,2741.8014749085,3104.57019706168,186696.202776666,196160.302604226,14714.954860171,15587.7545976084,3303.87104298199,3499.83615509027
"170",Amhara,South Gonder,East Esite,"03","0302","030208",ET03,East Esite,ET030208,ET0302,,173615.5,230237.853946367,323707.519751174,68356.586910615,3334.70981947423,3194.1450048829,196385.197069492,16396.2821190248,3681.37056622815,22740.7441725128,25749.6037828516,1109.40211388844,1256.18767335476,1062.63870090296,1203.23680297742,72357.7590127064,76025.755706854,5703.06809575979,6041.33867721021,1280.47973757197,1356.42984339063
"171",Amhara,North Gonder,East Belesa,"03","0301","030117",ET03,East Belesa,ET030117,ET0301,E/Belessa,204732.578125,271503.34745692,381725.566421819,80608.1269819563,3932.38932376264,3766.63110007324,231583.284335923,19334.9851245585,4341.18202036903,26816.5640908767,30364.7011249598,1308.24007622422,1481.33398789143,1253.095264255,1418.89274153776,85326.4285159956,89651.8396673434,6725.22807276618,7124.12683609195,1509.97991486897,1599.54254593083
"172",Amhara,South Gonder,Ebenat,"03","0302","030201",ET03,Ebenat,ET030201,ET0302,Ebinat,314918.59375,417625.046109407,587168.293766053,123991.004394426,6048.78093783759,5793.81249468687,356220.21129704,29740.9742082449,6677.58375138861,41249.1003144087,46706.8263658217,2012.32812513298,2278.58028562522,1927.50466031366,2182.53348313885,131248.67143304,137901.996515193,10344.7110700206,10958.2950865247,2322.64330247896,2460.40807877816
"173",Amhara,North Shewa(R3),Eferatana Gidem,"03","0305","030508",ET03,Eferatana Gidem,ET030508,ET0305,Ephrata,160383.484375,212690.394872236,299036.318393706,63146.824959217,3080.5566336347,2950.7048937573,181417.800747492,15146.6479493173,3400.79681069511,21007.5701055958,23787.1110354169,1024.84960500888,1160.44797890488,981.650241381328,1111.53273175352,66843.0497969617,70231.4920183267,5268.41170762894,5580.90117149924,1182.88863599954,1253.05024374681
"174",Amhara,East Gojam,Enarj Enawga,"03","0306","030605",ET03,Enarj Enawga,ET030605,ET0306,,240226.03125,318572.51165393,447903.400074335,94582.7508680546,4614.12780139273,4419.63291157777,271731.708794741,22686.9938496774,5093.79082331677,31465.6163777676,35628.8760105776,1535.0430513392,1738.14538030985,1470.3380618123,1664.87901041786,100119.04051059,105194.32634897,7891.1468998613,8359.20072725841,1771.75750697926,1876.84715907733
"175",Amhara,East Gojam,Enbise Sar Midir,"03","0306","030604",ET03,Enbise Sar Midir,ET030604,ET0306,Enbse Sar Midir,191021.21875,253320.213133156,356160.624721923,75209.6358980389,3669.02917016949,3514.37211364743,216073.678264172,18040.0816364031,4050.44418402319,25020.6039617162,28331.1150037291,1220.6245633529,1382.12602182958,1169.1729121962,1323.86659341821,79611.9431308032,83647.6726531504,6274.82579761759,6647.00949513267,1408.85347250493,1492.4179110353
"176",Amhara,East Gojam,Enemay,"03","0306","030606",ET03,Enemay,ET030606,ET0306,,237104.28125,314432.644991351,442082.871666541,93353.6430108171,4554.16696621992,4362.1995477998,268200.540846305,22392.1751629526,5027.59674176805,31056.7190263183,35165.8768796871,1515.09508558135,1715.55808902944,1451.23094082055,1643.24381949485,98817.9882762107,103827.320506301,7788.60102793202,8250.57247105098,1748.73342433246,1852.4574308353
"177",Amhara,Awi/Agew,Fagta Lakoma,"03","0309","030905",ET03,Fagta Lakoma,ET030905,ET0309,,181640.03125,240879.477844726,338669.323899441,71516.0373502795,3488.84054602833,3341.77880721457,205462.146713514,17154.1204355802,3851.52399810219,23791.8243598266,26939.7538571861,1160.67882553984,1314.24883287508,1111.75400145421,1258.85056630294,75702.144153304,79539.6761371988,5966.66465341336,6320.57014563962,1339.66367949616,1419.12420919737
"178",Amhara,South Gonder,Farta,"03","0302","030204",ET03,Farta,ET030204,ET0302,,412507.0625,547040.67786413,769122.791926514,162413.925421542,7923.20588842137,7589.22661377176,466607.421351319,38957.248476318,8746.86510276291,54031.5673293412,61180.5594373948,2635.91791707198,2984.67756095672,2524.80895431742,2858.86731938165,171920.63277423,180635.72181618,13550.3792427481,14354.1035869702,3042.39503464026,3222.85101378854
"179",Amhara,South Gonder,Fogera,"03","0302","030203",ET03,Fogera,ET030203,ET0302,,328002.8125,434976.506350946,611563.926641253,129142.575170894,6300.09532362557,6034.53346696819,371020.427163245,30976.650411879,6955.02359857011,42962.915447798,48647.3987722062,2095.93621277394,2373.25060198077,2007.58850775142,2273.21325273435,136701.78332214,143631.540353748,10774.5125019842,11413.5896702194,2419.14434640265,2562.63296532315
"180",Amhara,Wag Himra,Gaz Gibla,"03","0308","030804",ET03,Gaz Gibla,ET030804,ET0308,Gazgibla,101587.8671875,134719.380056726,189411.409258259,39997.5801265806,1951.24316809041,1868.99429217818,114911.130155353,9593.97824662124,2154.08522942915,13306.3217209416,15066.8997250999,649.145926505586,735.034755095817,621.783188803,704.051542264267,42338.7912517485,44485.0510097152,3337.04377934755,3534.97649216307,749.248802766727,793.689588657284
"181",Amhara,North Shewa(R3),Menz Gera Midir,"03","0305","030505",ET03,Menz Gera Midir,ET030505,ET0305,,172739.3125,229075.909709507,322073.860991087,68011.6108745252,3317.88049801416,3178.02507361832,195394.097456512,16313.5347984275,3662.79174767222,22625.9781764775,25619.6529376535,1103.80328046249,1249.84805542291,1057.27586897408,1197.1644128607,71992.590211678,75642.075581356,5674.28635117389,6010.84977827988,1274.01752457795,1349.58433205434
"182",Amhara,North Wollo,Gidan,"03","0303","030303",ET03,Gidan,ET030303,ET0303,Gidan,227662.875,301912.051419718,424479.292492155,89636.3348966998,4372.82169387085,4188.49834823809,257520.892848174,21500.526891483,4827.39966793217,29820.0517693049,33765.5844513588,1454.76455027875,1647.24518983331,1393.4434525364,1577.81044821256,94883.091920882,99692.9543633492,7478.46176753486,7922.03767579722,1679.09949534967,1778.69324963561
"183",Amhara,North Shewa(R3),Gishe Rabel,"03","0305","030506",ET03,Gishe Rabel,ET030506,ET0305,Gishe Rabel,88494.3671875,117355.611610667,164998.471416523,34842.3550993559,1699.75051322212,1628.10256522157,100100.415801914,8357.42551990357,1876.44858115231,11591.2908981015,13124.950779696,565.478531726904,640.297284644904,541.642534136378,613.307449255378,36881.8112146385,38751.4429370046,2906.93746907093,3079.35894666712,652.679306126746,691.392189205995
"184",Amhara,East Gojam,Goncha Siso Enese,"03","0306","030603",ET03,Goncha Siso Enese,ET030603,ET0306,,214275.890625,284159.082627683,399519.150632822,84365.5580311507,4115.69195459953,3942.20715147367,242378.203602971,20236.2574424103,4543.53993047393,28066.5793724665,31780.1076736317,1369.22179191779,1550.38422548815,1311.50648443586,1485.03237090446,89303.7963550304,93830.8302802735,7038.71483544932,7456.20768667818,1580.36544084774,1674.10290419263
"185",Amhara,North Gonder,Gonder Zuria,"03","0301","030110",ET03,Gonder Zuria,ET030110,ET0301,,571971.0625,758511.710932626,1066444.72418257,225198.727326408,10986.1015783375,10523.0150085789,646985.147219629,54017.0601396093,12128.1650211055,74918.7002680798,84831.2980962625,3654.89202185587,4138.47264920543,3500.83135900357,3964.02759337787,238380.468924817,250464.574125091,18788.5869535933,19903.0092481735,4218.50212687671,4468.71747471192
"186",Amhara,East Gojam,Gonje,"03","0306","030618",ET03,Gonje,ET030618,ET0306,,151111.109375,200393.959813235,281747.899367451,59496.0685028217,2902.45801938454,2780.11349903937,170929.352471404,14270.9630224911,3204.18390226222,19793.0431322173,22411.8883025617,965.599178487245,1093.35809823338,924.897333234964,1047.27082627269,62978.6006220583,66171.1442004628,4963.82492802446,5258.24819571599,1114.50137618306,1180.60667638613
"187",Amhara,Awi/Agew,Guagusa Shikudad,"03","0309","030907",ET03,Guagusa Shikudad,ET030907,ET0309,,120321.4140625,159562.620604394,224340.260628377,47373.4268977791,2311.0667018051,2213.65053067371,136101.58431905,11363.1781144468,2551.31432514169,15760.1049196085,17845.3464045653,768.853190567569,870.580548314675,736.44456359128,833.883804074431,50146.3745045945,52688.4202840118,3952.41909723813,4186.85205222117,887.415770498826,940.05176285145
"188",Amhara,Awi/Agew,Guangua,"03","0309","030904",ET03,Guangua,ET030904,ET0309,,321252,426024.007395528,598976.981520108,126484.618356131,6170.42947735505,5910.33330035994,363384.244661154,30339.1023457061,6811.87830085404,42078.6712413815,47646.1589803252,2052.798557104,2324.40538108961,1966.26918646363,2226.4269574439,133888.246143633,140675.377903115,10552.7561300634,11178.6800874987,2369.35456024648,2509.88995826367
"189",Amhara,North Wollo,Guba Lafto,"03","0303","030307",ET03,Guba Lafto,ET030307,ET0303,,268343.21875,355859.740668664,500328.126138561,105653.162041169,5154.18707750718,4936.92758863414,303536.469361783,25342.3865919355,5689.99212140144,35148.5004969163,39799.0476692898,1714.71172866984,1941.58611196633,1642.43336204785,1859.74430064954,111837.445130224,117506.76635599,8814.7639442712,9337.60099876713,1979.13236044143,2096.5222009786
"190",Amhara,East Gojam,Guzamn,"03","0306","030610",ET03,Guzamn,ET030610,ET0306,,280486.40625,371963.265008763,522969.198551442,110434.226241748,5387.42665920332,5160.33564665017,317272.237598141,26489.1916184119,5947.47819287944,36739.0561810365,41600.051996587,1792.30663167011,2029.44763615475,1716.75749203521,1943.90228254318,116898.363278495,122824.235167113,9213.65358956254,9760.15030057696,2068.69294427921,2191.39496244798
"191",Amhara,North Wollo,Habru,"03","0303","030308",ET03,Habru,ET030308,ET0303,Habru,274826.09375,364456.917921862,512415.499599496,108205.625435095,5278.70652951995,5056.1982919903,310869.574323333,25954.6305876753,5827.45602992076,35997.6493452472,40760.5485872594,1756.13726515174,1988.49268230653,1682.1127332337,1904.67366346047,114539.313955067,120345.599703405,9027.71887963871,9563.18709837816,2026.94600656584,2147.17185565212
"192",Amhara,North Shewa(R3),Hagere Mariam,"03","0305","030516",ET03,Hagere Mariam,ET030516,ET0305,,79835.4765625,105872.740582122,148853.899025144,31433.1421572089,1533.43536513372,1468.79793955352,90305.9104622767,7539.67817865075,1692.84409259533,10457.120178777,11840.7163490559,510.148267071365,577.64624445522,488.644545563867,553.297278084278,33273.0440183851,34959.7382600108,2622.50294065548,2778.05352846111,588.816724760655,623.741676121591
"193",Amhara,East Gojam,Hulet Ej Enese,"03","0306","030602",ET03,Hulet Ej Enese,ET030602,ET0306,Hule eji Enbse,395409.0625,524366.395747758,737243.431081972,155682.032687324,7594.79702807555,7274.66085614363,447267.016263673,37342.5099784817,8384.31640209178,51792.013580617,58644.6872054846,2526.6617887697,2860.96569859985,2420.15818000269,2740.37016413164,164794.696647564,173148.554074384,12988.7297454319,13759.1405295073,2916.29084144895,3089.26710300699
"194",Amhara,West Gojam,Jabi Tehnan,"03","0307","030709",ET03,Jabi Tehnan,ET030709,ET0307,,294340.40625,390335.560273719,548800.094863308,115888.878361286,5653.52657447008,5415.21890821177,332943.191632779,27797.566115372,6241.24060363496,38553.6998606963,43654.7937149683,1880.83361737018,2129.68767248018,1801.55289660629,2039.91699706146,122672.297019215,128890.864123415,9668.74144403783,10242.2311403296,2170.87141500516,2299.63402549439
"195",Amhara,South Wollo,Jama,"03","0304","030414",ET03,Jama,ET030414,ET0304,,182585,242132.63540869,340431.225862715,71888.0942143682,3506.99097942697,3359.16416285725,206531.048247036,17243.3634710158,3871.56126517947,23915.5995561355,27079.905922524,1166.71717078441,1321.08611465842,1117.53781894109,1265.39964272563,76095.9789266223,79953.4753851813,5997.7057824002,6353.45244162201,1346.63318012838,1426.50709732413
"196",Amhara,North Gonder,Janamora,"03","0301","030103",ET03,Janamora,ET030103,ET0301,Janamora,240225.265625,318571.496330662,447901.97256026,94582.4494231269,4614.11309569418,4419.61882575439,271730.842757915,22686.9215439011,5093.77458888298,31465.516093621,35628.7624576955,1535.03815899955,1738.13984066226,1470.33337569409,1664.8737042777,100118.72142094,105193.991083863,7891.12174996679,8359.17408562834,1771.75186020636,1876.84117737294
"197",Amhara,Awi/Agew,Jawi,"03","0309","030906",ET03,Jawi,ET030906,ET0309,,113859.015625,150992.598068409,212291.065885701,44829.0256176861,2186.9405521993,2094.75655122658,128791.641424032,10752.8679293148,2414.28460489752,14913.6381605459,16886.8824468395,727.55849921022,823.822135284188,696.890522158676,789.096353440681,47453.0396998985,49858.5535676776,3740.13679323305,3961.97848028773,839.753146739222,889.56208825151
"198",Amhara,Oromia,Jille Timuga,"03","0310","031003",ET03,Jille Timuga,ET031003,ET0310,Jile Timuga,102652.5703125,136131.321747359,191396.556943029,40416.7792862067,1971.69339267152,1888.58249811833,116115.469243877,9694.5290200862,2176.66136316229,13445.7801298124,15224.8100707494,655.949373764262,742.73836993094,628.299857796248,711.430434035134,42782.5277392098,44951.2816151714,3372.01804387833,3572.02521286375,757.101389535144,802.007942105572
"199",Amhara,South Wollo,Kalu,"03","0304","030407",ET03,Kalu,ET030407,ET0304,Kalu,384548.40625,509963.682928631,716993.64867454,151405.931804284,7386.19159225439,7074.8485645528,434981.983429852,36316.8274566289,8154.02532641783,50369.4481683879,57033.9001774874,2457.26225357863,2782.38387551496,2353.68396745569,2665.10072502922,160268.299248384,168392.702212778,12631.9697662919,13381.2197640053,2836.18940888758,3004.41455092318
"200",Amhara,South Wollo,Kelela,"03","0304","030413",ET03,Kelela,ET030413,ET0304,Kelela,196464.1875,260538.332737092,366309.08447434,77352.6632568354,3773.57468216419,3614.51081926154,222230.493125817,18554.1166804518,4165.8577556752,25733.5423795576,29138.3832989847,1255.4051044744,1421.50839408439,1202.48738723763,1361.58891842638,81880.410065646,86031.133879294,6453.62101707866,6836.40973663312,1448.99741815847,1534.94294623747
"201",Amhara,North Shewa(R3),Kewet,"03","0305","030512",ET03,Kewet,ET030512,ET0305,,169595.890625,224907.303182163,316212.925195102,66773.9702802513,3257.50340153768,3120.19299479891,191838.415363644,16016.6694155462,3596.13813225273,22214.2421696944,25153.4395649789,1083.71683153962,1227.10395819928,1038.03610214658,1175.37902568453,70682.5057865747,74265.5796835109,5571.02858325095,5901.46740082956,1250.83360368622,1325.02528495534
"202",Amhara,North Shewa(R3),Menz Keya Gabriel,"03","0305","030521",ET03,Menz Keya Gabriel,ET030521,ET0305,,66541.625,88243.2786133953,124067.404056451,26199.0339139423,1278.09446904955,1224.2201825905,75268.5684109383,6284.20421078966,1410.95915804747,8715.84663205923,9869.05246834006,425.200626882806,481.459138671345,407.27761027081,461.164654825877,27732.5634293244,29138.396782471,2185.81531359534,2315.46430334226,490.769559846977,519.878962291431
"203",Amhara,South Wollo,Kutaber,"03","0304","030403",ET03,Kutaber,ET030403,ET0304,Kutaber,138182.546875,183248.921008454,257642.488843488,54405.7833257461,2654.13339214541,2542.25626089133,156305.207194123,13049.9870258581,2930.04461486484,18099.6163798199,20494.4018923228,882.985733448992,999.814026150552,845.766202318987,957.669827458677,57590.3616125476,60509.7618108387,4539.13662359435,4808.37001852571,1019.14835576044,1079.59790696669
"204",Amhara,North Wollo,Lasta,"03","0303","030310",ET03,Lasta,ET030310,ET0303,,169378.1875,224618.599118888,315807.015937946,66688.2553378367,3253.32188117419,3116.18773404013,191592.160443399,15996.1094894124,3591.52192070162,22185.726679596,25121.1511505744,1082.32570973843,1225.52877636312,1036.70361877999,1173.87024097278,70591.7736212147,74170.2480766102,5563.87728773566,5893.89193487628,1249.22796110034,1323.32440562285
"205",Amhara,North Gonder,Lay Armacho,"03","0301","030108",ET03,Lay Armacho,ET030108,ET0301,,225877.515625,299544.421161918,421150.475335013,88933.3960848778,4338.52950544814,4155.65164544037,255501.383341827,21331.9171993971,4789.54262490741,29586.1993724689,33500.7907174107,1443.3561134475,1634.3272969068,1382.51590305553,1565.43707079786,94139.0074157121,98911.1503441649,7419.81477984639,7859.91211301678,1665.93179716621,1764.74452537177
"206",Amhara,South Gonder,Lay Gayint,"03","0302","030205",ET03,Lay Gayint,ET030205,ET0302,,295696.40625,392133.801386703,551328.367954032,116422.768088014,5679.57186717267,5440.16633875006,334477.031222137,27925.6270232598,6269.99344245295,38731.3133174322,43855.9074561351,1889.49845009786,2139.49895364499,1809.85249012429,2049.31471273107,123237.437350702,129484.65283893,9713.28447353607,10289.4161857103,2180.87242599869,2310.22823435039
"207",Amhara,South Wollo,Legambo,"03","0304","030410",ET03,Legambo,ET030410,ET0304,Legambo,235760.40625,312650.483283599,439577.205737488,92824.5271874344,4528.35456376366,4337.47519070936,266680.41645239,22265.2593424601,4999.1010033709,30880.6937430064,34966.5614453873,1506.50773153864,1705.83453779392,1443.00556011332,1633.93013575923,98257.901282865,103238.84129534,7744.45629064077,8203.80934209743,1738.8218397831,1841.95795264477
"208",Amhara,South Wollo,Legehida,"03","0304","030420",ET03,Legehida,ET030420,ET0304,Legehida,96407.234375,127849.153718443,179752.077006957,37957.8407190989,1851.73645866104,1773.68199333286,109051.056626045,9104.71826033645,2044.23427055524,12627.7449496235,14298.539513792,616.041710617792,697.550503521277,590.074378692554,668.147328281573,40179.6581064925,42216.465977791,3166.86599159925,3354.70481490741,711.039683510631,753.214141738525
"209",Amhara,South Gonder,Libo Kemkem,"03","0302","030202",ET03,Libo Kemkem,ET030202,ET0302,L/Kemkem,283774.125,376323.2288909,529099.177051068,111728.679976996,5450.57532968087,5220.82247197839,320991.141121316,26799.684426675,6017.19150209599,37169.6926795341,42087.6666114224,1813.31513685035,2053.2357873694,1736.88044869193,1966.687714707,118268.586334697,124263.918274441,9321.65134270645,9874.55380973464,2092.94110900073,2217.08137771145
"210",Amhara,West Gojam,Mecha,"03","0307","030704",ET03,Mecha,ET030704,ET0307,,418919.75,555544.776910752,781079.300219635,164938.754313112,8046.37721802887,7707.20602082932,473861.133712442,39562.8639506918,8882.84074441311,54871.522782027,62131.6505687065,2676.89495580531,3031.0762925825,2564.05873278937,2903.31024991489,174593.249543752,183443.820248056,13761.0286000309,14577.2473559229,3089.69102150279,3272.9523048676
"211",Amhara,South Wollo,Mehal Sayint,"03","0304","030419",ET03,Mehal Sayint,ET030419,ET0304,,105463.234375,139858.645989227,196637.063075981,41523.4051477503,2025.67906243293,1940.29256188359,119294.752290668,9959.96868941616,2236.25912920992,13813.9303951988,15641.6708117321,673.909502049857,763.074811949388,645.502932452887,730.909653579507,43953.9286388993,46182.0637710829,3464.34510305647,3669.82853980994,777.831096163601,823.96720619271
"212",Amhara,South Wollo,Mekdela,"03","0304","030401",ET03,Mekdela,ET030401,ET0304,Mekdela,205045.546875,271918.386744036,382309.099215965,80731.3502860949,3938.4006531878,3772.38903971283,231937.29898119,19364.5419551377,4347.81825932465,26857.5577940757,30411.1187622613,1310.23994485824,1483.59846016433,1255.0108346155,1421.06176168966,85456.8645507448,89788.8878325785,6735.50873372729,7135.01728201489,1512.28817733902,1601.9877201955
"213",Amhara,North Wollo,Meket,"03","0303","030304",ET03,Meket,ET030304,ET0303,Meket,324021.75,429697.07400518,604141.203048893,127575.135369852,6223.62929259326,5961.29063497162,366517.247760435,30600.6780828907,6870.6085186388,42441.4624447695,48056.9515943346,2070.49724474964,2344.4457911237,1983.22184070145,2245.62262335533,135042.595283113,141888.243902228,10643.7392096746,11275.0597183566,2389.78251024599,2531.52956739264
"214",Amhara,North Shewa(R3),Menz Lalo Midir,"03","0305","030522",ET03,Menz Lalo Midir,ET030522,ET0305,,25045.046875,33213.1511557791,46696.6947418759,9860.83571680733,481.051310184027,460.774017140401,28329.7082700655,2365.25917470905,531.059141582573,3280.48477107727,3714.53029109841,160.037715212985,181.212386929549,153.291820576525,173.573915533432,10438.0280922106,10967.1579748666,822.700782992423,871.498284188221,184.716658650742,195.67290368871
"215",Amhara,North Shewa(R3),Menz Mama Midir,"03","0305","030509",ET03,Menz Mama Midir,ET030509,ET0305,,122395.9296875,162313.71152357,228208.211978653,48190.213461293,2350.91284241663,2251.81707525726,138448.172957964,11559.0957799077,2595.30268309968,16031.8319780221,18153.026049442,782.109334285553,885.590619168411,749.141935592933,848.26116985313,51010.9707051748,53596.8450393839,4020.56453284206,4259.03945185882,902.716104991363,956.25961816581
"216",Amhara,North Shewa(R3),Merahbete,"03","0305","030502",ET03,Merahbete,ET030502,ET0305,,181648.421875,240890.604958914,338684.96828838,71519.3409406101,3489.00170847972,3341.9331763402,205471.637770154,17154.9128478628,3851.70191424394,23792.9233922089,26940.9983040773,1160.73244158859,1314.30954289058,1111.80535748434,1258.90871726757,75705.6411153939,79543.3503690875,5966.94027572669,6320.86211615688,1339.72556351745,1419.18976379448
"217",Amhara,North Gonder,Metema,"03","0301","030113",ET03,Metema,ET030113,ET0301,,155832.0625,206654.58813318,290550.155081689,61354.8209908772,2993.13545741983,2866.96869827276,176269.459258004,14716.8107682753,3304.28774021977,20411.4095065678,23112.071595218,995.766043637207,1127.51635669597,953.792607538086,1079.98924453103,64946.1529922616,68238.4367462595,5118.90277043349,5422.52429265065,1149.32018451866,1217.49072019557
"218",Amhara,East Gojam,Michakel,"03","0306","030609",ET03,Michakel,ET030609,ET0306,,169280,224488.38908992,315623.94454112,66649.5965638374,3251.43595036502,3114.38129905784,191481.095639063,15986.8366425147,3589.43993739672,22172.8657494461,25106.5885728009,1081.69829214002,1224.81834482229,1036.10264802885,1173.18975556916,70550.852001526,74127.2520371525,5560.65194208016,5890.47528174698,1248.50379128698,1322.55728255349
"219",Amhara,North Shewa(R3),Mimo Weremo,"03","0305","030501",ET03,Mimo Weremo,ET030501,ET0305,,134459.890625,178312.170626259,250701.565817758,52940.0842637875,2582.63068442978,2473.76753801904,152094.324057086,12698.4186341698,2851.10882199533,17612.0102995825,19942.2799708512,859.197979976347,972.878902884559,822.981147981049,931.870074528588,56038.869586636,58879.6207540604,4416.85167731446,4678.83188866355,991.692363075051,1050.51339530624
"220",Amhara,North Shewa(R3),Minjar Shenkora,"03","0305","030518",ET03,Minjar Shenkora,ET030518,ET0305,,184574.40625,244770.859677995,344140.490087194,72671.3711754036,3545.20238656975,3395.76488131914,208781.365404534,17431.2433902877,3913.7449504669,24176.1787013526,27374.9626582453,1179.42946605259,1335.4803801966,1129.71426674136,1279.18716063776,76925.1040797099,80824.6309764977,6063.05547360795,6422.67827066843,1361.30580090777,1442.0500068462
"221",Amhara,North Gonder,Mirab Armacho,"03","0301","030106",ET03,Mirab Armacho,ET030106,ET0301,,45972.4921875,60965.8005294235,85716.0876926074,18100.4729284679,883.014023076043,845.793182536819,52001.7909577076,4341.651244393,974.808007322019,6021.63219187676,6818.36275412257,293.763978524569,332.632040338192,281.381267083851,318.610921977541,19159.9627390219,20131.2294137455,1510.14312360992,1599.7154352007,339.064454105651,359.175651817767
"222",Amhara,North Shewa(R3),Mojan Wedera,"03","0305","030511",ET03,Mojan Wedera,ET030511,ET0305,,99801.203125,132350.019605193,186080.159500603,39294.1276279941,1916.92591995692,1836.12358598755,112890.144851557,9425.24533959005,2116.20052160396,13072.2984317334,14801.9124877712,637.72915272821,722.107422157581,610.847653794173,691.669122753583,41594.1629917658,43702.6756714197,3278.35393418577,3472.80552987017,736.071482021291,779.730671080866
"223",Amhara,North Shewa(R3),Moretna Jiru,"03","0305","030504",ET03,Moretna Jiru,ET030504,ET0305,,133068.640625,176467.183201156,248107.568813724,52392.3157665082,2555.90832936158,2448.17158467361,150520.611425305,12567.0287093181,2821.60853659302,17429.7796788718,19735.9381622979,850.307899937714,962.812571822212,814.465801755446,922.228059834379,55459.0381071516,58270.3961593257,4371.15072614232,4630.42024088631,981.431370047948,1039.64378389702
"224",Amhara,North Gonder,Quara,"03","0301","030114",ET03,Quara,ET030114,ET0301,,135944.625,180281.131094537,253469.865203588,53524.6598019386,2611.14863530181,2501.08339914598,153773.781552703,12838.6372418651,2882.59136489497,17806.4858192568,20162.4868180453,868.685424669867,983.621636223927,832.068678803101,942.159979765422,56657.6625636694,59529.7819025944,4465.62348193294,4730.49653384253,1002.64283859633,1062.11338502926
"225",Amhara,West Gojam,Quarit,"03","0307","030706",ET03,Quarit,ET030706,ET0307,,165659.578125,219687.215445398,308873.638343752,65224.1496276391,3181.89690357944,3047.77346480572,187385.854929584,15644.9232853986,3512.67193841072,21698.650672705,24569.6294371937,1058.56381577533,1198.62293409157,1013.943333924,1148.09853478354,69041.968212028,72541.8791353984,5441.72527661248,5764.49462505876,1221.8018156431,1294.27151154276
"226",Amhara,Wag Himra,Sahla,"03","0308","030806",ET03,Sahla,ET030806,ET0308,Sahala,33979.125,45060.9583762703,63354.3564777634,13378.3965786992,652.652106491888,625.141490184008,38435.4919887563,3208.99527782719,720.49874948485,4450.70047795751,5039.57887192093,217.126426517676,245.854534741314,207.974133921333,235.491265082726,14161.4852257582,14879.3665103787,1116.17490206424,1182.37946542941,250.608851530683,265.47341223739
"227",Amhara,South Wollo,Sayint,"03","0304","030411",ET03,Sayint,ET030411,ET0304,Sayint,207801.21875,275572.783838076,387447.071965543,81816.3244043077,3991.33006364258,3823.08736765376,235054.377607411,19624.7881514161,4406.24996231665,27218.5049971351,30819.8233936842,1327.84867336064,1503.53700851506,1271.87732165936,1440.15985959526,86605.3463478732,90995.589059007,6826.0293632373,7230.90703310358,1532.61229586147,1623.51733920902
"228",Amhara,West Gojam,Sekela,"03","0307","030705",ET03,Sekela,ET030705,ET0307,Sekela,198859.546875,263714.906268432,370775.251620671,78295.7737008876,3819.58341081447,3658.58018623946,224940.004217347,18780.3348930477,4216.64933533637,26047.2946352496,29493.648553664,1270.71143803418,1438.83991644345,1217.14852967276,1378.18988179864,82878.7243659537,87080.0552410035,6532.30579827297,6919.76161038867,1466.66409621366,1553.65750191883
